Symbol,Security Name,Exchange,ETF
COSO,"CoastalSouth Bancshares, Inc. Common Stock",NYSE,N
COST,Costco Wholesale Corporation - Common Stock,NASDAQ,N
COTY,Coty Inc. Class A Common Stock,NYSE,N
COUR,"Coursera, Inc. Common Stock",NYSE,N
COYA,"Coya Therapeutics, Inc. - Common Stock",NASDAQ,N
CPA,"Copa Holdings, S.A. Class A Common Stock",NYSE,N
CPAY,"Corpay, Inc. Common Stock",NYSE,N
CPB,The Campbell's Company - Common Stock,NASDAQ,N
CPBI,"Central Plains Bancshares, Inc. - Common Stock",NASDAQ,N
CPHC,Canterbury Park Holding Corporation - Common Stock,NASDAQ,N
CPIX,Cumberland Pharmaceuticals Inc. - Common Stock,NASDAQ,N
CPK,Chesapeake Utilities Corporation Common Stock,NYSE,N
CPNG,"Coupang, Inc. Class A Common Stock",NYSE,N
CPRT,"Copart, Inc. - Common Stock",NASDAQ,N
CPRX,"Catalyst Pharmaceuticals, Inc. - Common Stock",NASDAQ,N
CPS,Cooper-Standard Holdings Inc. Common Stock,NYSE,N
CPSH,CPS Technologies Corp. - Common Stock,NASDAQ,N
CPSS,"Consumer Portfolio Services, Inc. - Common Stock",NASDAQ,N
CPT,Camden Property Trust Common Stock,NYSE,N
CR,Crane Company Common Stock,NYSE,N
CRAI,"CRA International,Inc. - Common Stock",NASDAQ,N
CRBG,Corebridge Financial Inc. Common Stock,NYSE,N
CRBP,"Corbus Pharmaceuticals Holdings, Inc. - Common Stock",NASDAQ,N
CRBU,"Caribou Biosciences, Inc. - Common Stock",NASDAQ,N
CRC,California Resources Corporation Common Stock,NYSE,N
CRCL,"Circle Internet Group, Inc. Class A Common Stock",NYSE,N
CRCT,"Cricut, Inc. - Class A common stock",NASDAQ,N
CRD.A,Crawford & Company Common Stock,NYSE,N
CRD.B,Crawford & Company Common Stock,NYSE,N
CRDF,"Cardiff Oncology, Inc. - Common Stock",NASDAQ,N
CREG,Smart Powerr Corp. - Common Stock,NASDAQ,N
CRESY,"Cresud S.A.C.I.F. y A. - American Depositary Shares, each representing ten shares of Common Stock",NASDAQ,N
CREX,"Creative Realities, Inc. - Common Stock",NASDAQ,N
CRGY,Crescent Energy Company Class A Common Stock,NYSE,N
CRI,"Carter's, Inc. Common Stock",NYSE,N
CRIS,"Curis, Inc. - Common Stock",NASDAQ,N
CRK,"Comstock Resources, Inc. Common Stock",NYSE,N
CRL,"Charles River Laboratories International, Inc. Common Stock",NYSE,N
CRM,"Salesforce, Inc. Common Stock",NYSE,N
CRMD,CorMedix Inc. - Common Stock,NASDAQ,N
CRMT,"America's Car-Mart, Inc. - Common Stock",NASDAQ,N
CRNC,Cerence Inc. - Common Stock,NASDAQ,N
CRNX,"Crinetics Pharmaceuticals, Inc. - Common Stock",NASDAQ,N
CROX,"Crocs, Inc. - Common Stock",NASDAQ,N
CRS,Carpenter Technology Corporation Common Stock,NYSE,N
CRSR,"Corsair Gaming, Inc. - Common Stock",NASDAQ,N
CRT,Cross Timbers Royalty Trust Common Stock,NYSE,N
CRUS,"Cirrus Logic, Inc. - Common Stock",NASDAQ,N
CRVL,CorVel Corp. - Common Stock,NASDAQ,N
CRVO,CervoMed Inc. - Common Stock,NASDAQ,N
CRVS,"Corvus Pharmaceuticals, Inc. - Common Stock",NASDAQ,N
CRWD,"CrowdStrike Holdings, Inc. - Class A Common Stock",NASDAQ,N
CRWS,"Crown Crafts, Inc. - Common Stock",NASDAQ,N
CRWV,"CoreWeave, Inc. - Class A Common Stock",NASDAQ,N
CSAI,"Cloudastructure, Inc. - Class A Common Stock",NASDAQ,N
CSBR,"Champions Oncology, Inc. - Common Stock",NASDAQ,N
CSCO,"Cisco Systems, Inc. - Common Stock",NASDAQ,N
CSGP,"CoStar Group, Inc. - Common Stock",NASDAQ,N
CSL,Carlisle Companies Incorporated Common Stock,NYSE,N
CSPI,CSP Inc. - Common Stock,NASDAQ,N
CSR,D/B/A Centerspace Common Stock,NYSE,N
CSTL,"Castle Biosciences, Inc. - Common stock",NASDAQ,N
CSV,"Carriage Services, Inc. Common Stock",NYSE,N
CSW,"CSW Industrials, Inc. Common Stock",NYSE,N
CSWC,Capital Southwest Corporation - Common Stock,NASDAQ,N
CSX,CSX Corporation - Common Stock,NASDAQ,N
CTAS,Cintas Corporation - Common Stock,NASDAQ,N
CTBI,"Community Trust Bancorp, Inc. - Common Stock",NASDAQ,N
CTEV,Claritev Corporation Class A Common Stock,NYSE,N
CTKB,"Cytek Biosciences, Inc. - Common Stock",NASDAQ,N
CTMX,"CytomX Therapeutics, Inc. - Common Stock",NASDAQ,N
CTNM,"Contineum Therapeutics, Inc. - Common stock",NASDAQ,N
CTNT,Cheetah Net Supply Chain Service Inc. - Class A Common Stock,NASDAQ,N
CTO,"CTO Realty Growth, Inc. Common Stock",NYSE,N
CTOR,"Citius Oncology, Inc.  - Common Stock",NASDAQ,N
CTOS,"Custom Truck One Source, Inc. Common Stock",NYSE,N
CTRE,"CareTrust REIT, Inc. Common Stock",NYSE,N
CTRI,"Centuri Holdings, Inc. Common Stock",NYSE,N
CTRN,"Citi Trends, Inc. - Common Stock",NASDAQ,N
CTS,CTS Corporation Common Stock,NYSE,N
CTSH,Cognizant Technology Solutions Corporation - Class A Common Stock,NASDAQ,N
CTSO,Cytosorbents Corporation - Common Stock,NASDAQ,N
CTVA,"Corteva, Inc. Common Stock ",NYSE,N
CTXR,"Citius Pharmaceuticals, Inc. - Common Stock",NASDAQ,N
CUBI,"Customers Bancorp, Inc Common Stock",NYSE,N
CUE,"Cue Biopharma, Inc. - Common Stock",NASDAQ,N
CURB,Curbline Properties Corp. Common Stock,NYSE,N
CURI,CuriosityStream Inc.  - Class A Common Stock,NASDAQ,N
CURV,Torrid Holdings Inc. Common Stock,NYSE,N
CURX,Curanex Pharmaceuticals Inc - Common Stock,NASDAQ,N
CUZ,Cousins Properties Incorporated Common Stock,NYSE,N
CV,"CapsoVision, Inc. - Common Stock",NASDAQ,N
CVBF,CVB Financial Corporation - Common Stock,NASDAQ,N
CVCO,"Cavco Industries, Inc. - Common Stock",NASDAQ,N
CVE,Cenovus Energy Inc Common Stock,NYSE,N
CVGI,"Commercial Vehicle Group, Inc. - Common Stock",NASDAQ,N
CVI,CVR Energy Inc. Common Stock,NYSE,N
CVKD,"Cadrenal Therapeutics, Inc. - Common Stock",NASDAQ,N
CVLG,"Covenant Logistics Group, Inc. Class A Common Stock",NYSE,N
CVLT,"Commvault Systems, Inc. - Common Stock",NASDAQ,N
CVNA,Carvana Co. Class A Common Stock,NYSE,N
CVRX,"CVRx, Inc. - Common Stock",NASDAQ,N
CVS,CVS Health Corporation Common Stock,NYSE,N
CVV,CVD Equipment Corporation - Common Stock,NASDAQ,N
CVX,Chevron Corporation Common Stock,NYSE,N
CW,Curtiss-Wright Corporation Common Stock,NYSE,N
CWBC,Community West Bancshares - Common Stock,NASDAQ,N
CWD,CaliberCos Inc. - Class A Common Stock,NASDAQ,N
CWEN,"Clearway Energy, Inc. Class C Common Stock",NYSE,N
CWH,"Camping World Holdings, Inc. Class A Common Stock",NYSE,N
CWST,"Casella Waste Systems, Inc. - Class A Common Stock",NASDAQ,N
CWT,California Water Service Group Common Stock,NYSE,N
CXAI,CXApp Inc. - Class A Common Stock,NASDAQ,N
CXDO,"Crexendo, Inc. - Common Stock",NASDAQ,N
CXM,"Sprinklr, Inc. Class A Common Stock",NYSE,N
CXT,"Crane NXT, Co. Common Stock",NYSE,N
CXW,"CoreCivic, Inc. Common Stock",NYSE,N
CYAB,"Cyabra, Inc. - Common Stock",NASDAQ,N
CYCN,"Cyclerion Therapeutics, Inc. - Common Stock",NASDAQ,N
CYCU,"Cycurion, Inc. - Common Stock",NASDAQ,N
CYD,China Yuchai International Limited Common Stock,NYSE,N
CYH,"Community Health Systems, Inc. Common Stock",NYSE,N
CYN,Cyngn Inc. - Common stock,NASDAQ,N
CYPH,Cypherpunk Technologies Inc. - Common Stock,NASDAQ,N
CYRX,"CryoPort, Inc. - Common Stock",NASDAQ,N
CYTK,"Cytokinetics, Incorporated - Common Stock",NASDAQ,N
CZFS,"Citizens Financial Services, Inc. - Common Stock",NASDAQ,N
CZNC,Citizens & Northern Corp - Common Stock,NASDAQ,N
CZR,"Caesars Entertainment, Inc. - Common Stock",NASDAQ,N
CZWI,"Citizens Community Bancorp, Inc. - Common Stock",NASDAQ,N
D,"Dominion Energy, Inc. Common Stock",NYSE,N
DAC,Danaos Corporation Common Stock,NYSE,N
DAIC,"CID HoldCo, Inc. - Common Stock",NASDAQ,N
DAIO,Data I/O Corporation - Common Stock,NASDAQ,N
DAKT,"Daktronics, Inc. - Common Stock",NASDAQ,N
DAL,"Delta Air Lines, Inc. Common Stock",NYSE,N
DAN,Dana Incorporated Common Stock ,NYSE,N
DAR,Darling Ingredients Inc. Common Stock,NYSE,N
DARE,"Dare Bioscience, Inc. - Common Stock",NASDAQ,N
DASH,"DoorDash, Inc. - Common Stock",NASDAQ,N
DAVE,Dave Inc.  - Class A Common Stock,NASDAQ,N
DB,Deutsche Bank AG Common Stock,NYSE,N
DBD,Diebold Nixdorf Incorporated Common stock,NYSE,N
DBGI,"Digital Brands Group, Inc. - Common Stock",NASDAQ,N
DBI,Designer Brands Inc. Class A Common Stock,NYSE,N
DBX,"Dropbox, Inc. - Class A Common Stock",NASDAQ,N
DCGO,DocGo Inc. - Common Stock,NASDAQ,N
DCH,Dauch Corporation Common Stock,NYSE,N
DCI,"Donaldson Company, Inc. Common Stock",NYSE,N
DCO,Ducommun Incorporated Common Stock,NYSE,N
DCOM,"Dime Commercial Bancshares, Inc. Common Stock",NYSE,N
DCOY,Decoy Therapeutics Inc. - Common Stock,NASDAQ,N
DCTH,"Delcath Systems, Inc. - Common Stock",NASDAQ,N
DD,"DuPont de Nemours, Inc. Common Stock",NYSE,N
DDD,3D Systems Corporation Common Stock,NYSE,N
DDOG,"Datadog, Inc. - Class A Common Stock",NASDAQ,N
DDS,"Dillard's, Inc. Common Stock",NYSE,N
DE,Deere & Company Common Stock,NYSE,N
DEA,"Easterly Government Properties, Inc. Common Stock",NYSE,N
DEC,Diversified Energy Company Common Stock,NYSE,N
DECK,Deckers Outdoor Corporation Common Stock,NYSE,N
DEFT,"Defi Technologies, Inc. - Common Stock",NASDAQ,N
DEI,"Douglas Emmett, Inc. Common Stock",NYSE,N
DELL,Dell Technologies Inc. Class C Common Stock ,NYSE,N
DEO,Diageo plc Common Stock,NYSE,N
DERM,Journey Medical Corporation - Common Stock,NASDAQ,N
DFDV,DeFi Development Corp. - Common Stock,NASDAQ,N
DFH,"Dream Finders Homes, Inc. Class A Common Stock",NYSE,N
DFIN,"Donnelley Financial Solutions, Inc. Common Stock ",NYSE,N
DFLI,Dragonfly Energy Holdings Corp - Common Stock,NASDAQ,N
DFNS,T3 Defense Inc. - Common Stock,NASDAQ,N
DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc. Common Stock,NYSE,N
DFSC,"DEFSEC Technologies Inc. - common stock, no R/S concurrent with offering",NASDAQ,N
DG,Dollar General Corporation Common Stock,NYSE,N
DGICA,"Donegal Group, Inc. - Class A Common Stock",NASDAQ,N
DGICB,"Donegal Group, Inc. - Class B Common Stock",NASDAQ,N
DGII,Digi International Inc. - Common Stock,NASDAQ,N
DGX,Quest Diagnostics Incorporated Common Stock,NYSE,N
DH,Definitive Healthcare Corp. - Class A Common Stock,NASDAQ,N
DHF,BNY Mellon High Yield Strategies Fund Common Stock,NYSE,N
DHI,"D.R. Horton, Inc. Common Stock",NYSE,N
DHR,Danaher Corporation Common Stock,NYSE,N
DHX,"DHI Group, Inc. Common Stock",NYSE,N
DIBS,"1stdibs.com, Inc. - Common Stock",NASDAQ,N
DIN,"Dine Brands Global, Inc. Common Stock",NYSE,N
DINO,HF Sinclair Corporation Common Stock,NYSE,N
DIOD,Diodes Incorporated - Common Stock,NASDAQ,N
DIS,Walt Disney Company (The) Common Stock,NYSE,N
DJCO,Daily Journal Corp. (S.C.) - Common Stock,NASDAQ,N
DJT,Trump Media & Technology Group Corp. - Common Stock,NASDAQ,N
DK,"Delek US Holdings, Inc. Common Stock",NYSE,N
DKNG,DraftKings Inc. - Class A Common Stock,NASDAQ,N
DKS,Dick's Sporting Goods Inc Common Stock,NYSE,N
DLB,Dolby Laboratories Common Stock,NYSE,N
DLHC,DLH Holdings Corp. - Common Stock,NASDAQ,N
DLPN,"Dolphin Entertainment, Inc. - Common Stock",NASDAQ,N
DLR,"Digital Realty Trust, Inc. Common Stock",NYSE,N
DLTH,Duluth Holdings Inc. - Class B Common Stock,NASDAQ,N
DLTR,"Dollar Tree, Inc. - Common Stock",NASDAQ,N
DLX,Deluxe Corporation Common Stock,NYSE,N
DMA,Destra Multi-Alternative Fund Common Stock,NYSE,N
DMAC,DiaMedica Therapeutics Inc. - Common Stock,NASDAQ,N
DMB,"BNY Mellon Municipal Bond Infrastructure Fund, Inc. Common Stock",NYSE,N
DMO,Western Asset Mortgage Opportunity Fund Inc. Common Stock,NYSE,N
DMRA,"Damora Therapeutics, Inc. - Common Stock",NASDAQ,N
DMRC,Digimarc Corporation - Common Stock,NASDAQ,N
DNA,"Ginkgo Bioworks Holdings, Inc. Class A Common Stock",NYSE,N
DNLI,Denali Therapeutics Inc. - Common Stock,NASDAQ,N
DNOW,DNOW Inc. Common Stock,NYSE,N
DNP,"DNP Select Income Fund, Inc. Common Stock",NYSE,N
DNTH,"Dianthus Therapeutics, Inc. - Common Stock",NASDAQ,N
DNUT,"Krispy Kreme, Inc. - Common Stock",NASDAQ,N
DOC,"Healthpeak Properties, Inc. Common Stock",NYSE,N
DOCN,"DigitalOcean Holdings, Inc. Common Stock",NYSE,N
DOCS,"Doximity, Inc. Class A Common Stock",NYSE,N
DOCU,"DocuSign, Inc. - Common Stock",NASDAQ,N
DOGZ,Dogness (International) Corporation - Class A Common Stock,NASDAQ,N
DOMH,Dominari Holdings Inc. - Common Stock,NASDAQ,N
DOMO,"Domo, Inc. - Class B Common Stock",NASDAQ,N
DORM,"Dorman Products, Inc. - Common Stock",NASDAQ,N
DOUG,Douglas Elliman Inc. Common Stock,NYSE,N
DOV,Dover Corporation Common Stock,NYSE,N
DOW,Dow Inc. Common Stock ,NYSE,N
DPZ,Domino's Pizza Inc - Common Stock,NASDAQ,N
DRCT,"Direct Digital Holdings, Inc. - Class A Common Stock",NASDAQ,N
DRH,Diamondrock Hospitality Company - Common Stock,NASDAQ,N
DRI,"Darden Restaurants, Inc. Common Stock",NYSE,N
DRIO,DarioHealth Corp. - Common Stock,NASDAQ,N
DRMA,"Dermata Therapeutics, Inc. - Common Stock",NASDAQ,N
DRS,"Leonardo DRS, Inc. - Common Stock",NASDAQ,N
DRUG,Bright Minds Biosciences Inc. - common stock,NASDAQ,N
DRVN,Driven Brands Holdings Inc. - Common Stock,NASDAQ,N
DSGN,"Design Therapeutics, Inc. - Common Stock",NASDAQ,N
DSGR,"Distribution Solutions Group, Inc. - Common Stock",NASDAQ,N
DSGX,The Descartes Systems Group Inc. - Common Stock,NASDAQ,N
DSM,"BNY Mellon Strategic Municipal Bond Fund, Inc. Common Stock",NYSE,N
DSP,Viant Technology Inc. - common stock,NASDAQ,N
DSU,"Blackrock Debt Strategies Fund, Inc. Common Stock",NYSE,N
DSX,Diana Shipping inc. common stock,NYSE,N
DT,"Dynatrace, Inc. Common Stock",NYSE,N
DTCX,"Datacentrex, Inc. - Common Stock",NASDAQ,N
DTE,DTE Energy Company Common Stock,NYSE,N
DTF,DTF Tax-Free Income 2028 Term Fund Inc. Common Stock,NYSE,N
DTI,Drilling Tools International Corporation  - Common Stock,NASDAQ,N
DTIL,"Precision BioSciences, Inc. - Common Stock",NASDAQ,N
DTM,"DT Midstream, Inc. Common Stock ",NYSE,N
DTST,Data Storage Corporation - Common Stock,NASDAQ,N
DUK,Duke Energy Corporation (Holding Company) Common Stock,NYSE,N
DUKR,DUKE Robotics Corp. - Common Stock,NASDAQ,N
DUOL,"Duolingo, Inc. - Class A Common Stock",NASDAQ,N
DUOT,"Duos Technologies Group, Inc. - Common Stock",NASDAQ,N
DV,"DoubleVerify Holdings, Inc. Common Stock",NYSE,N
DVA,DaVita Inc. Common Stock,NYSE,N
DVLT,Datavault AI Inc. - Common Stock,NASDAQ,N
DVN,Devon Energy Corporation Common Stock,NYSE,N
DWSN,Dawson Geophysical Company - Common Stock,NASDAQ,N
DWTX,"Dogwood Therapeutics, Inc.  - Common Stock",NASDAQ,N
DX,"Dynex Capital, Inc. Common Stock",NYSE,N
DXC,DXC Technology Company Common Stock ,NYSE,N
DXCM,"DexCom, Inc. - Common Stock",NASDAQ,N
DXLG,"Destination XL Group, Inc. - Common Stock",NASDAQ,N
DXPE,"DXP Enterprises, Inc. - Common Stock",NASDAQ,N
DXYZ,Destiny Tech100 Inc. Common Stock,NYSE,N
DY,"Dycom Industries, Inc. Common Stock",NYSE,N
DYAI,"Dyadic International, Inc. - Common Stock",NASDAQ,N
DYN,"Dyne Therapeutics, Inc. - Common Stock",NASDAQ,N
E,ENI S.p.A. Common Stock,NYSE,N
EA,Electronic Arts Inc. - Common Stock,NASDAQ,N
EAF,GrafTech International Ltd. Common Stock,NYSE,N
EAT,"Brinker International, Inc. Common Stock",NYSE,N
EBAY,eBay Inc. - Common Stock,NASDAQ,N
EBC,"Eastern Bankshares, Inc. - Common Stock",NASDAQ,N
EBF,"Ennis, Inc. Common Stock",NYSE,N
EBMT,"Eagle Bancorp Montana, Inc. - Common Stock",NASDAQ,N
EBS,Emergent BioSolutions Inc. Common Stock,NYSE,N
ECBK,"ECB Bancorp, Inc. - Common Stock",NASDAQ,N
ECG,"Everus Construction Group, Inc. Common Stock",NYSE,N
ECHO,EchoStar Corporation - Common stock,NASDAQ,N
ECL,Ecolab Inc. Common Stock,NYSE,N
ECO,Okeanis Eco Tankers Corp. Common Stock,NYSE,N
ECOR,"electroCore, Inc. - Common Stock",NASDAQ,N
ECPG,Encore Capital Group Inc - Common Stock,NASDAQ,N
ECVT,Ecovyst Inc. Common Stock,NYSE,N
ED,"Consolidated Edison, Inc. Common Stock",NYSE,N
EDBL,Edible Garden AG Incorporated - Common Stock,NASDAQ,N
EDD,"Morgan Stanley Emerging Markets Domestic Debt Fund, Inc. Common Stock",NYSE,N
EDIT,"Editas Medicine, Inc. - Common Stock",NASDAQ,N
EDUC,Educational Development Corporation - Common Stock,NASDAQ,N
EE,"Excelerate Energy, Inc. Class A Common Stock",NYSE,N
EEA,"The European Equity Fund, Inc. Common Stock",NYSE,N
EEFT,"Euronet Worldwide, Inc. - Common Stock",NASDAQ,N
EEIQ,EpicQuest Education Group International Limited - Common Stock,NASDAQ,N
EEX,"Emerald Holding, Inc. Common Stock",NYSE,N
EFC,Ellington Financial Inc. Common Stock ,NYSE,N
EFOI,"Energy Focus, Inc. - Common Stock",NASDAQ,N
EFOR,"Everforth, Inc. Common Stock",NYSE,N
EFSC,Enterprise Financial Services Corporation - Common Stock,NASDAQ,N
EFSI,Eagle Financial Services Inc - Common Stock,NASDAQ,N
EFX,"Equifax, Inc. Common Stock",NYSE,N
EG,"Everest Group, Ltd. Common Stock",NYSE,N
EGAN,eGain Corporation - Common Stock,NASDAQ,N
EGBN,"Eagle Bancorp, Inc. - Common Stock",NASDAQ,N
EGHT,8x8 Inc - Common stock,NASDAQ,N
EGP,"EastGroup Properties, Inc. Common Stock",NYSE,N
EGY,"VAALCO Energy, Inc.  Common Stock",NYSE,N
EHC,Encompass Health Corporation Common Stock,NYSE,N
EHI,Western Asset Global High Income Fund Inc Common Stock,NYSE,N
EHLD,Euroholdings Ltd. - Common Stock,NASDAQ,N
EHTH,"eHealth, Inc. - Common Stock",NASDAQ,N
EIC,Eagle Point Income Company Inc. Common Stock,NYSE,N
EIG,Employers Holdings Inc Common Stock,NYSE,N
EIKN,"Eikon Therapeutics, Inc. - Common Stock",NASDAQ,N
EIX,Edison International Common Stock,NYSE,N
EL,"Estee Lauder Companies, Inc. (The) Common Stock",NYSE,N
ELAB,PMGC Holdings Inc. - Common Stock,NASDAQ,N
ELAN,Elanco Animal Health Incorporated Common Stock,NYSE,N
ELBM,Electra Battery Materials Corporation - Common Stock,NASDAQ,N
ELDN,"Eledon Pharmaceuticals, Inc. - Common Stock",NASDAQ,N
ELE,Elemental Royalty Corporation - Common Stock,NASDAQ,N
ELF,"e.l.f. Beauty, Inc. Common Stock",NYSE,N
ELME,Elme Communities Common Stock,NYSE,N
ELMT,The Elmet Group Co. - Common Stock,NASDAQ,N
ELOX,"Eloxx Pharmaceuticals, Inc. - Common Stock",NASDAQ,N
ELS,"Equity Lifestyle Properties, Inc. Common Stock",NYSE,N
ELSE,"Electro-Sensors, Inc. - Common Stock",NASDAQ,N
ELTX,"Elicio Therapeutics, Inc. - Common Stock",NASDAQ,N
ELUT,"Elutia, Inc. - Class A Common Stock",NASDAQ,N
ELV,"Elevance Health, Inc. Common Stock",NYSE,N
ELVN,"Enliven Therapeutics, Inc.  - Common Stock",NASDAQ,N
ELWT,"Elauwit Connection, Inc. - Common Stock",NASDAQ,N
EMAT,Evolution Metals & Technologies Corp. - Common Stock,NASDAQ,N
EMBC,Embecta Corp. - Common Stock,NASDAQ,N
EMBJ,Embraer S.A. Common Stock,NYSE,N
EMD,Western Asset Emerging Markets Debt Fund Inc Common Stock,NYSE,N
EME,"EMCOR Group, Inc. Common Stock",NYSE,N
EMF,Templeton Emerging Markets Fund Common Stock,NYSE,N
EML,Eastern Company (The) - Common Stock,NASDAQ,N
EMN,Eastman Chemical Company Common Stock,NYSE,N
EMO,ClearBridge Energy Midstream Opportunity Fund Inc. Common Stock,NYSE,N
EMPD,Empery Digital Inc. - Common stock,NASDAQ,N
EMR,Emerson Electric Company Common Stock,NYSE,N
ENB,Enbridge Inc Common Stock,NYSE,N
ENGN,enGene Therapeutics Inc. - Common Stock,NASDAQ,N
ENHA,Enhanced Group Inc. Class A Common Stock,NYSE,N
ENIC,Enel Chile S.A. American Depositary Shares (Each representing 50 shares of Common Stock),NYSE,N
ENOV,Enovis Corporation Common Stock,NYSE,N
ENPH,"Enphase Energy, Inc. - Common Stock",NASDAQ,N
ENR,"Energizer Holdings, Inc. Common Stock",NYSE,N
ENS,EnerSys Common Stock,NYSE,N
ENSC,"Ensysce Biosciences, Inc. - Common Stock",NASDAQ,N
ENSG,"The Ensign Group, Inc. - Common Stock",NASDAQ,N
ENTA,"Enanta Pharmaceuticals, Inc. - Common Stock",NASDAQ,N
ENTG,"Entegris, Inc. - Common Stock",NASDAQ,N
ENVA,"Enova International, Inc. Common Stock",NYSE,N
ENVB,"Enveric Biosciences, Inc.  - Common Stock",NASDAQ,N
ENVX,Enovix Corporation - Common Stock,NASDAQ,N
EOG,"EOG Resources, Inc. Common Stock",NYSE,N
EOLS,"Evolus, Inc. - Common Stock",NASDAQ,N
EOS,Eaton Vance Enhance Equity Income Fund II Common Stock,NYSE,N
EOSE,"Eos Energy Enterprises, Inc. - Common Stock",NASDAQ,N
EPAC,Enerpac Tool Group Corp. Common Stock,NYSE,N
EPAM,"EPAM Systems, Inc. Common Stock",NYSE,N
EPC,Edgewell Personal Care Company Common Stock,NYSE,N
EPD,Enterprise Products Partners L.P. Common Stock,NYSE,N
EPR,EPR Properties Common Stock,NYSE,N
EPRT,"Essential Properties Realty Trust, Inc. Common Stock",NYSE,N
EPRX,Eupraxia Pharmaceuticals Inc. - Common Stock,NASDAQ,N
EQ,"Equillium, Inc. - Common Stock",NASDAQ,N
EQBK,"Equity Bancshares, Inc. Class A Common Stock",NYSE,N
EQH,"Equitable Holdings, Inc. Common Stock",NYSE,N
EQIX,"Equinix, Inc. - Common Stock",NASDAQ,N
EQPT,EquipmentShare.com Inc - Class A Common Stock,NASDAQ,N
EQS,"Equus Total Return, Inc. Common Stock",NYSE,N
EQT,EQT Corporation Common Stock,NYSE,N
ERAS,"Erasca, Inc. - Common Stock",NASDAQ,N
ERIE,Erie Indemnity Company - Class A Common Stock,NASDAQ,N
ERII,"Energy Recovery, Inc. - Common Stock",NASDAQ,N
ERNA,Ernexa Therapeutics Inc. - Common Stock,NASDAQ,N
EROC,"ERock, Inc. Class A Common Stock",NYSE,N
ES,Eversource Energy (D/B/A) Common Stock,NYSE,N
ESAB,ESAB Corporation Common Stock,NYSE,N
ESCA,"Escalade, Incorporated - Common Stock",NASDAQ,N
ESE,ESCO Technologies Inc. Common Stock,NYSE,N
ESEA,Euroseas Ltd. - Common Stock,NASDAQ,N
ESI,Element Solutions Inc. Common Stock,NYSE,N
ESLA,"Estrella Immunopharma, Inc. - Common Stock",NASDAQ,N
ESOA,Energy Services of America Corporation - Common Stock,NASDAQ,N
ESPR,"Esperion Therapeutics, Inc. - Common Stock",NASDAQ,N
ESQ,"Esquire Financial Holdings, Inc. - Common Stock",NASDAQ,N
ESRT,"Empire State Realty Trust, Inc. Class A Common Stock",NYSE,N
ESS,"Essex Property Trust, Inc. Common Stock",NYSE,N
ETD,Ethan Allen Interiors Inc. Common Stock,NYSE,N
ETO,Eaton Vance Tax-Advantage Global Dividend Opp Common Stock,NYSE,N
ETON,"Eton Pharmaceuticals, Inc. - Common Stock",NASDAQ,N
ETR,Entergy Corporation Common Stock,NYSE,N
ETS,Elite Express Holding Inc. - Class A Common Stock,NASDAQ,N
ETSY,"Etsy, Inc. Common Stock",NYSE,N
EU,enCore Energy Corp. - Common Stock,NASDAQ,N
EVC,Entravision Communications Corporation Common Stock,NYSE,N
EVCM,EverCommerce Inc. - Common Stock,NASDAQ,N
EVER,"EverQuote, Inc. - Class A Common Stock",NASDAQ,N
EVEX,"Eve Holding, Inc. Common Stock",NYSE,N
EVEX.W,"Eve Holding, Inc. Warrants, each exercisable for one share of Common Stock at an exercise price of $11.50 per share",NYSE,N
EVF,Eaton Vance Senior Income Trust Common Stock,NYSE,N
EVGO,EVgo Inc. - Common Stock,NASDAQ,N
EVH,"Evolent Health, Inc Class A Common Stock",NYSE,N
EVLV,"Evolv Technologies Holdings, Inc. - Class A Common Stock",NASDAQ,N
EVMN,"Evommune, Inc. Common Stock",NYSE,N
EVN,Eaton Vance Municipal Income Trust Common Stock,NYSE,N
EVR,Evercore Inc. Class A Common Stock,NYSE,N
EVRG,"Evergy, Inc. - Common Stock",NASDAQ,N
EVTC,"Evertec, Inc. Common Stock",NYSE,N
EVTV,"Envirotech Vehicles, Inc. - Common stock",NASDAQ,N
EW,Edwards Lifesciences Corporation Common Stock,NYSE,N
EWBC,"East West Bancorp, Inc. - Common Stock",NASDAQ,N
EWTX,"Edgewise Therapeutics, Inc. - Common Stock",NASDAQ,N
EXC,Exelon Corporation - Common Stock,NASDAQ,N
EXE,Expand Energy Corporation - Common Stock,NASDAQ,N
EXEL,"Exelixis, Inc. - Common Stock",NASDAQ,N
EXFY,"Expensify, Inc. - Class A Common Stock",NASDAQ,N
EXLS,"ExlService Holdings, Inc. - Common Stock",NASDAQ,N
EXOZ,eXoZymes Inc. - Common Stock,NASDAQ,N
EXP,Eagle Materials Inc Common Stock,NYSE,N
EXPD,"Expeditors International of Washington, Inc. Common Stock",NYSE,N
EXPE,"Expedia Group, Inc. - Common Stock",NASDAQ,N
EXPO,"Exponent, Inc. - Common Stock",NASDAQ,N
EXR,Extra Space Storage Inc Common Stock,NYSE,N
EXTR,"Extreme Networks, Inc. - Common Stock",NASDAQ,N
EXYN,"Exyn Technologies, Inc. - Common Stock",NASDAQ,N
EYE,"National Vision Holdings, Inc. - Common Stock",NASDAQ,N
EYPT,"EyePoint, Inc. - Common Stock",NASDAQ,N
EZPW,"EZCORP, Inc. - Class A Non-Voting Common Stock",NASDAQ,N
EZRA,"Reliance Global Group, Inc. - Common Stock",NASDAQ,N
